"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"496",207099,"health","premium",4.7,11,7,40.9,2137
"497",158413,"food","off_brand",2.8,4,17,84.5,2291
"498",136535,"food","premium",3.7,10,20,43.8,1213
"499",168538,"toys","off_brand",4.8,2,19,46.8,2003
"500",65825,"health","premium",4,12,16,46.9,685
"501",113503,"health","off_brand",3.7,9,22,61.7,1202
"502",165799,"health","off_brand",4.7,17,19,80.8,960
"503",203455,"other","off_brand",4.8,13,26,45,1917
"504",112339,"toys","premium",4.8,7,23,23.5,942
"505",153415,"other","off_brand",4.4,4,12,80,1939
"506",68034,"toys","premium",2.6,28,22,49,1662
"507",125364,"health","premium",3.9,5,13,48.6,2223
"508",184256,"health","off_brand",4.1,5,16,19.3,2617
"509",176058,"toys","premium",4.2,11,22,57.5,3067
"510",143283,"toys","off_brand",2.9,11,24,39.3,2840
"511",167879,"toys","off_brand",4.8,15,30,38,1110
"512",86376,"other","off_brand",3.5,5,10,59.8,1099
"513",178351,"health","premium",4.7,20,33,58.3,1935
"514",161606,"health","off_brand",4.2,21,13,NA,1418
"515",169621,"other","off_brand",3.5,12,14,45.8,2712
"516",203592,"other","off_brand",4.3,9,23,87.6,2859
"517",150165,"toys","off_brand",4,9,11,35.5,1611
"518",126405,"health","premium",4.8,1,22,44.3,751
"519",206803,"food","off_brand",4.4,8,28,115.6,2468
"520",97387,"other","off_brand",3.9,14,17,5,1238
"521",111687,"toys","off_brand",4.1,7,21,51.3,1369
"522",147197,"toys","off_brand",4.1,2,23,43.6,2503
"523",156529,"toys","off_brand",4.6,7,6,58,1103
"524",113887,"toys","premium",2.8,21,29,65.4,2959
"525",196454,"health","premium",4.6,15,NA,NA,2584
"526",82322,"health","premium",2.3,7,NA,40.6,880
"527",130034,"toys","off_brand",4.7,10,13,39.2,800
"528",209550,"health","premium",4.6,17,15,32,2319
"529",151668,"toys","premium",4.4,8,25,55,2355
"530",162431,"health","off_brand",4.5,2,20,40.3,2044
"531",142030,"other","premium",4.2,3,10,30.8,1848
"532",146828,"toys","off_brand",4.2,0,30,35.1,2444
"533",89813,"toys","premium",4.1,4,18,88.2,975
"534",130989,"toys","premium",4.6,3,21,47.8,1395
"535",254644,"health","off_brand",4.8,8,22,44.8,3075
"536",128029,"health","off_brand",3.1,7,36,48.8,2193
"537",211953,"health","off_brand",4.8,4,22,57.5,2111
"538",146535,"toys",NA,4.7,6,27,56.1,966
"539",244223,"other","premium",4.4,2,16,69.7,3262
"540",132360,"food","premium",4.6,4,23,50.9,871
"541",117072,"toys","premium",4,13,NA,32.2,1762
"542",171326,"food","off_brand",4,6,26,49.3,2695
"543",115405,"toys","off_brand",4.2,8,21,67.6,925
"544",161801,"toys","premium",3.9,2,15,44,2842
"545",89917,"toys","premium",4,4,13,42,1258
"546",178648,"toys","off_brand",4,3,10,84.6,4098
"547",137978,"toys","premium",4.2,5,29,61.3,2605
"548",196630,"other","premium",4.4,8,29,44,3343
"549",103371,"other","off_brand",3.6,4,24,55.7,1976
"550",206140,"health","off_brand",3.6,10,23,90.7,3200
"551",60918,"toys","premium",2.7,9,14,12.2,1004
"552",154478,"health","premium",3.5,3,22,30,3098
"553",232484,"health","off_brand",3.8,146,11,69.2,3475
"554",149127,"health","premium",4.2,6,19,54.6,2373
"555",185947,"other","off_brand",4.7,15,29,33.9,1412
"556",82290,"toys","off_brand",3.8,10,31,89.9,671
"557",128301,"toys","premium",4.1,5,20,55,1533
"558",195526,"other","premium",4,4,18,46.1,3254
"559",118010,"toys","premium",4.3,9,10,48.6,979
"560",97852,"toys","premium",4.4,7,19,7.5,877
"561",76849,"toys","premium",4.7,178,22,53.2,614
"562",76396,"food","premium",4,3,22,9.5,912
"563",172148,"toys","off_brand",4.6,24,NA,47.4,1053
"564",103879,"health","premium",4.6,9,25,25.9,946
"565",66591,"toys","off_brand",3.8,1,25,74.2,1298
"566",70833,"health","premium",3.8,4,21,5,1007
"567",96110,"toys","off_brand",4.6,18,26,64.6,338
"568",172651,"toys","off_brand",4.2,5,NA,55.1,3422
"569",140991,"health","premium",4.7,11,11,8.4,1942
"570",188444,"other","off_brand",3.7,6,16,63.1,3191
"571",107042,"health","off_brand",4,3,NA,11.5,1114
"572",130225,"other","premium",4.2,3,18,33.7,2457
"573",88095,"toys","off_brand",4.2,16,23,67.4,488
"574",46469,"other","off_brand",3,2,23,56.1,1484
"575",221495,"toys","off_brand",4.9,12,29,74.7,3129
"576",95242,"toys","off_brand",2.9,6,25,88.2,1461
"577",178916,"health","off_brand",4.6,3,24,63.2,1584
"578",202293,"toys","off_brand",4.5,9,12,76.1,3204
"579",136532,"toys","off_brand",4.2,8,20,40,999
"580",111687,"health","premium",4.5,11,17,25.8,1708
"581",119166,"health","off_brand",3.9,11,27,58.6,1053
"582",120839,"health","off_brand",3.1,18,17,47.5,1442
"583",151973,"health","off_brand",4.5,11,17,48.6,1671
"584",183613,"toys","premium",4.3,8,30,81.8,2581
"585",148032,"health","off_brand",3.9,6,15,47.6,2546
"586",107220,"toys","off_brand",4.5,8,25,98.3,716
"587",229550,"other","off_brand",4.8,9,22,46.3,3102
"588",141401,"health","off_brand",4,7,26,56.3,2347
"589",223922,"health","off_brand",4.3,8,29,49.3,3506
"590",200664,"health","off_brand",4.5,6,31,23.5,2221
"591",136258,"other","off_brand",4.7,14,19,47.1,782
"592",148853,"other","off_brand",4.1,4,14,54.2,1832
"593",95656,"food","off_brand",4,5,27,43.4,810
"594",94425,"health","off_brand",3.7,13,23,NA,896
"595",70923,"health","off_brand",3.7,12,14,30.4,1032
"596",125069,"other","off_brand",4.4,4,22,40,1223
"597",174549,"health","premium",4.4,11,20,37.1,2430
"598",90566,"other","off_brand",4.2,1,17,68.8,1435
"599",207792,"health","premium",4.1,14,19,60.3,3011
"600",149253,"toys","off_brand",3.5,4,NA,58.7,2549
"601",95886,"other","off_brand",3.3,9,19,43.5,1279
"602",169258,"health","premium",4.8,3,36,55.2,1988
"603",153736,"other","off_brand",4.4,9,22,43.3,1963
"604",102032,"other","off_brand",4,12,24,48.3,1029
"605",63645,"health","premium",4.3,3,23,26.7,1028
"606",144548,"toys","premium",4.9,7,25,35.3,1140
"607",127169,"toys",NA,4.2,206,16,43.2,2121
"608",108569,"toys","off_brand",3.5,203,18,67,1342
"609",243744,"food","off_brand",4.6,7,29,32.8,3640
"610",109410,"health","off_brand",4.1,10,23,68.6,1513
"611",214843,"health","off_brand",4.8,7,17,51.4,2270
"612",118414,"health","off_brand",4.4,9,14,38.8,1030
"613",107328,"toys","off_brand",3.5,1,16,36.5,2784
"614",194731,"health",NA,4.9,15,31,5,2575
"615",182692,"toys","off_brand",3.3,4,15,60.1,3378
"616",176633,"health","off_brand",4.1,4,21,42.5,2578
"617",220880,"toys","off_brand",4.7,1,14,41.6,2288
"618",100125,"toys","premium",4.1,10,34,29.2,1160
"619",130749,"health","premium",4.2,10,16,39.3,878
"620",96309,"health","premium",2.2,8,19,44.9,2454
"621",151939,"health","premium",4.5,2,25,52.1,1043
"622",118961,"health","off_brand",4.1,11,NA,34.2,1210
"623",98379,"toys","off_brand",4,4,26,80.5,1051
"624",158951,"other","off_brand",3.5,14,19,67.7,2010
"625",110641,"other","premium",4.3,3,12,20.6,988
"626",190408,"food","off_brand",4.4,4,10,37.3,2464
"627",134144,"health","off_brand",4.5,5,24,25.6,1132
"628",164646,"toys","off_brand",4.5,3,13,36,2185
"629",140335,"health","off_brand",3.3,18,NA,26.8,1895
"630",312278,"food","premium",4.6,19,5,51.9,4021
"631",77645,"health","premium",3.8,12,22,19.7,722
"632",75342,"toys","off_brand",3.5,7,26,53.9,1049
"633",193035,"other","off_brand",4.5,14,24,32.1,2315
"634",179866,"food","off_brand",4.8,11,15,38.2,1210
"635",152440,"toys","off_brand",3.8,14,22,43.6,2913
"636",215626,"toys","off_brand",4.9,11,NA,56.8,2196
"637",142310,"toys","premium",4.3,9,30,33.1,2753
"638",186774,"food","off_brand",4.9,11,4,17.8,751
"639",102447,"toys","off_brand",4.3,7,24,58,1584
"640",179426,"health",NA,4.3,4,NA,34.1,2734
"641",187472,"toys","premium",3.9,8,13,49.1,3139
"642",196671,"toys","off_brand",4.6,9,25,53.6,2584
"643",280179,"health","premium",4.6,12,20,57.3,4589
"644",173859,"toys","premium",4.3,11,19,71.2,2557
"645",137693,"toys","off_brand",3.9,6,12,74,2436
"646",110345,"food",NA,3.8,5,20,54.5,994
"647",219430,"food",NA,4.8,1,14,69.9,2633
"648",87548,"health","premium",4.2,6,20,59.2,879
"649",150036,"health","off_brand",4.4,2,28,38.8,2023
"650",87544,"other","premium",3.4,3,12,52.7,1089
"651",215787,"health","premium",4.6,9,NA,46.4,2865
"652",229894,"health","off_brand",4.6,16,23,64,3151
"653",80745,"toys","off_brand",4,16,27,42.8,1303
"654",203786,"food","premium",4.3,6,24,81.7,2987
"655",167997,"toys","premium",4.8,6,20,72.9,1772
"656",169009,"health","premium",4.6,16,33,52.3,1775
"657",231926,"toys","off_brand",4.4,22,8,75.7,2823
"658",165539,"health","premium",4.6,13,27,33.1,3126
"659",127039,"toys","off_brand",3.4,18,19,38.1,974
"660",116903,"toys","premium",4.6,4,19,NA,1236
"661",233179,"food","off_brand",4.3,13,22,43.4,2786
"662",134932,"toys","premium",4.6,6,17,60.1,1624
"663",54119,"food","off_brand",3.4,5,19,59.5,566
"664",247355,"toys","off_brand",4.3,15,28,75,2941
"665",140338,"health","premium",3.9,2,24,63.8,2282
"666",159952,"food","off_brand",3.5,3,18,43.3,2155
"667",60215,"health","premium",3.8,11,22,53,1049
"668",220888,"health","off_brand",4.7,3,7,48.9,3201
"669",67331,"health","off_brand",3.3,6,18,62.6,1182
"670",155972,"health","premium",2.7,3,19,29.3,2917
"671",136963,"health","off_brand",4.9,1,19,8.5,1218
"672",123321,"toys","off_brand",4.1,15,22,87.6,2262
"673",92426,"food","off_brand",3.7,8,27,33.7,781
"674",78699,"other","off_brand",4,8,20,9.3,857
"675",137364,"other","off_brand",4.5,6,12,13.4,945
"676",59426,"toys","premium",3.8,6,31,72.3,751
"677",243854,"food","premium",4.6,15,NA,69.3,3073
"678",230453,"other","off_brand",4.2,23,8,41.3,3096
"679",88655,"toys","off_brand",4.3,1,13,83.4,755
"680",227248,"food","premium",4.7,1,14,25.1,3405
"681",99687,"food","premium",4.1,7,29,66.5,876
"682",190495,"toys","premium",4.6,3,24,55,2762
"683",140038,"health","premium",4,10,NA,6.6,2080
"684",150142,"food","premium",3.8,4,30,18.7,2306
"685",146610,"health","off_brand",4.9,1,33,52,1708
"686",136929,"toys","premium",4,8,15,78.7,2947
"687",83562,"other","premium",4.2,8,NA,34.2,1116
"688",108738,"toys","off_brand",4.1,3,12,44.1,2404
"689",199354,"health","premium",4.7,7,31,43.6,2408
"690",156062,"toys","premium",4.2,7,18,29.3,3141
"691",246935,"health",NA,4.5,19,6,39.3,2765
"692",134916,"food","premium",4.3,11,20,57.4,973
"693",62057,"toys","premium",2.9,11,15,57.2,1309
"694",176433,"toys","off_brand",4.3,10,19,81.4,3009
"695",113068,"toys","off_brand",4.2,10,22,86.7,582
"696",98169,"health","off_brand",4.2,2,27,68.1,1829
"697",147542,"toys","off_brand",4.8,12,13,71.1,1014
"698",138834,"other","off_brand",2.6,9,25,39.5,1943
"699",233480,"toys","off_brand",4.8,6,22,92.4,2377
"700",204612,"toys","off_brand",4.3,5,13,51.7,2457
"701",206407,"toys",NA,4.9,13,11,38.1,2557
"702",141812,"health","premium",4.9,8,23,21.4,1316
"703",78936,"health","premium",3.5,6,12,21.1,862
"704",215104,"toys","off_brand",4.3,12,25,70.4,2565
"705",97612,"health","off_brand",4,14,20,63.2,843
"706",137326,"toys","premium",3.1,3,14,38.9,3506
"707",150925,"health","off_brand",4.6,4,26,68,1014
"708",66134,"other","premium",4,1,2,50.8,721
"709",54030,"health","premium",3.7,5,19,24.2,884
"710",105834,"health","premium",4.2,12,19,26,961
"711",205228,"health","off_brand",3.6,9,18,45.6,3434
"712",163773,"health","premium",4.3,4,10,5,2286
"713",181531,"toys","off_brand",4.7,17,20,17.7,1348
"714",182590,"other","off_brand",4.6,8,22,50.9,2479
"715",121207,"toys","off_brand",4.2,10,26,36.1,1772
"716",134612,"toys","off_brand",2.8,7,19,31.8,2842
"717",274975,"health","off_brand",4.9,4,21,26.7,3655
"718",136377,"toys","premium",4.5,13,15,57.6,933
"719",167055,"health","premium",4.3,4,17,36.5,2476
"720",195042,"food","premium",3.9,4,22,64.4,3083
"721",140282,"toys","off_brand",3.2,14,20,58.6,2321
"722",198485,"food","premium",4.6,7,14,43.5,2277
"723",219505,"other",NA,4.6,3,27,59.8,3436
"724",206672,"toys","off_brand",4.4,8,21,44.1,2253
"725",200706,"food","off_brand",3.2,3,24,7.2,3478
"726",211036,"health","off_brand",4.6,6,26,42.6,2529
"727",57599,"health","premium",3.4,5,10,13.6,1077
"728",155624,"toys",NA,4.7,6,18,25.4,2320
"729",149856,"food","off_brand",4.3,2,24,38.2,1203
"730",184148,"health",NA,4.4,9,14,34.7,2306
"731",217381,"toys",NA,4.6,21,26,45.4,2759
"732",47470,"health","premium",2.4,2,27,63.7,1091
"733",243280,"toys","premium",4.3,5,9,89,4168
"734",97355,"toys","off_brand",4.6,13,29,97.3,921
"735",233647,"health","premium",4.8,14,18,NA,2852
"736",109397,"toys","premium",4.8,2,13,38.4,1007
"737",51620,"toys","premium",3.9,5,27,NA,891
"738",179464,"other","premium",4.6,11,26,38.5,1788
"739",148884,"toys","off_brand",4.6,15,NA,56.6,691
"740",216340,"toys","off_brand",4.7,21,15,56,1979
"741",103121,"food","premium",4.1,12,13,23.4,953
"742",211868,"other","premium",4.2,13,11,27.3,2936
"743",168739,"health","premium",4.5,2,16,40.1,2638
"744",187092,"other","premium",4.2,4,21,52.5,3120
"745",167680,"food","off_brand",4.2,9,30,72.8,1347
"746",192654,"food","off_brand",3.9,5,11,67.2,2123
"747",100606,"health","off_brand",4.1,8,25,11.9,1208
"748",120540,"health","off_brand",4,8,18,NA,884
"749",153938,"other","off_brand",4.9,12,32,31.2,657
"750",87558,"health","off_brand",4.1,5,11,88,1162
"751",110175,"food","off_brand",4.6,5,23,62.4,756
"752",119480,"toys","off_brand",4.1,6,31,14.9,2271
"753",123139,"toys","premium",4.8,1,NA,52.6,1027
"754",137208,"other","off_brand",4.3,11,1,71.6,1221
"755",124273,"health","premium",3.9,7,NA,57.1,2525
"756",113986,"toys","off_brand",3.2,17,17,33.3,1074
"757",139970,"toys","off_brand",3.1,2,27,52.1,2767
"758",139646,"health","off_brand",4.6,9,18,61.1,1013
"759",121255,"food","premium",4.6,10,29,24.6,1013
"760",137017,"food","off_brand",4.1,13,29,48.8,699
"761",143027,"health","premium",4.2,4,NA,5,2502
"762",206262,"food","off_brand",4.4,17,NA,64.8,1314
"763",159791,"food","premium",3.9,5,9,NA,2385
"764",140153,"food",NA,4.3,3,17,45.7,1956
"765",220110,"other","off_brand",4,9,21,32.2,2783
"766",188220,"health","premium",4.4,7,25,24.4,2445
"767",87983,"toys","premium",3.3,11,9,74.4,1566
"768",212252,"toys","off_brand",4.8,8,18,85.8,2319
"769",113640,"toys","off_brand",4.1,4,17,65,2272
"770",177170,"health","premium",4.5,6,21,23.8,2261
"771",199771,"health","premium",4.5,1,27,NA,3717
"772",120515,"food","off_brand",3.3,13,25,65.3,916
"773",195417,"health","off_brand",4.9,18,17,25,1110
"774",170742,"health","off_brand",4.2,2,22,46.2,3077
"775",259927,"health","off_brand",4.8,2,22,56,3251
"776",101919,"health","off_brand",4.2,5,25,49.6,963
"777",167857,"food","premium",4.4,13,21,21.9,2347
"778",165187,"toys","off_brand",3,14,30,38.5,2980
"779",86832,"health","off_brand",3.7,7,20,19.4,1025
"780",247696,"toys","off_brand",4.6,11,11,61.7,3417
"781",92104,"health","premium",3.7,4,32,34.9,609
"782",172548,"toys","off_brand",4.5,5,16,63.9,2826
"783",208958,"toys","premium",3.3,24,11,72.1,2828
"784",86297,"toys","premium",3.6,2,22,80.5,1808
"785",121739,"other","off_brand",4.6,6,16,61.4,1102
"786",85135,"health",NA,4,12,10,11.5,1279
"787",65473,"health","premium",3.7,17,12,75.9,1048
"788",139606,"health","off_brand",4.5,9,15,56.9,950
"789",97564,"food","premium",4.6,7,19,52.7,950
"790",50446,"health","off_brand",3.2,5,16,36,813
"791",146800,"food","off_brand",4.5,8,27,50,1044
"792",94437,"toys","off_brand",3.6,14,14,54.7,755
"793",86184,"health","premium",4.3,2,22,12.8,956
"794",115941,"toys","off_brand",4.2,10,22,28.5,1140
"795",206529,"food","premium",4.2,2,21,83.3,2640
"796",126357,"health","off_brand",4.4,7,28,29.6,950
"797",105675,"other","off_brand",3.8,1,15,63.4,2041
"798",117184,"toys","off_brand",3.7,5,23,70.6,1071
"799",176963,"food","off_brand",4.4,7,2,NA,2294
"800",187329,"toys","premium",4.3,10,NA,59.2,3511
"801",171686,"toys","off_brand",3.5,14,15,80.6,2727
"802",149034,"other","off_brand",4.4,2,15,18.6,1642
"803",165196,"toys","premium",4.7,6,13,46.3,2155
"804",179732,"health","off_brand",3.6,8,8,54,3222
"805",202672,"health","premium",4.1,11,32,88,3957
"806",111267,"toys","premium",4.7,8,13,46.3,777
"807",120919,"toys","off_brand",3.1,14,19,79.1,2338
"808",74012,"health","off_brand",3.1,15,20,76.1,751
"809",210283,"food","premium",4.4,19,21,79.1,3285
"810",145491,"other","off_brand",4.4,7,31,20.9,1297
"811",54955,"toys","premium",3.8,2,20,45.3,1091
"812",188477,"toys","premium",4.8,14,7,64,1531
"813",184447,"health","off_brand",3.9,12,NA,40.3,2602
"814",173203,"other","premium",4.7,3,20,65.2,2089
"815",92553,"toys","premium",4.6,8,31,44.2,870
"816",152348,"health","off_brand",3.9,2,15,5,2458
"817",140064,"health","off_brand",4.6,7,26,56.6,1318
"818",164041,"toys","off_brand",4.8,8,30,73.7,813
"819",203615,"other","premium",4.2,9,17,20.5,3059
"820",238664,"toys","premium",4.7,17,25,87.9,3558
"821",188695,"toys","premium",4.2,7,15,60.9,2822
"822",162576,"health","off_brand",4.8,8,12,23.1,646
"823",253050,"toys","off_brand",4.4,24,30,81.2,3899
"824",169605,"health","off_brand",4.5,22,22,NA,740
"825",134390,"health","off_brand",3.8,6,24,58.7,2880
"826",156125,"toys","premium",4.8,5,18,84,2625
"827",147079,"toys","off_brand",4.5,17,26,41.1,1423
"828",286392,"health","off_brand",4.6,8,8,69.3,3671
"829",73033,"health","off_brand",3.4,13,28,11,892
"830",190098,"health","off_brand",3.5,6,15,63.2,3033
"831",189171,"toys","off_brand",4.7,2,28,76,2437
"832",114933,"toys","off_brand",4,4,12,76.3,1407
"833",146678,"food","off_brand",4.6,12,16,24.1,702
"834",85114,"other","off_brand",3.8,6,6,79.4,714
"835",110324,"health","off_brand",4.7,13,11,95.8,1043
"836",127790,"food","off_brand",4.6,5,17,116.7,1429
"837",239306,"health","off_brand",4.4,6,30,61.2,2929
"838",26869,"toys","premium",2.7,5,22,30,599
"839",138836,"food",NA,4.2,10,18,32.1,845
"840",114760,"toys","off_brand",4.3,3,20,72,789
"841",133068,"toys","off_brand",4.1,7,30,100.8,1908
"842",254663,"other","off_brand",4.3,21,18,46.5,3545
"843",86313,"toys","premium",3.7,10,9,58,775
"844",72083,"toys","premium",3.5,7,21,62.7,943
"845",118896,"health","premium",4.7,1,18,43.6,1346
"846",115933,"toys","premium",4.1,10,12,53.8,1041
"847",201214,"health","premium",4.4,30,19,27.9,2797
"848",70686,"health","premium",3.8,1,13,60.9,974
"849",154338,"other","premium",4.2,9,10,38,2686
"850",135462,"health","off_brand",4.6,8,14,91.9,929
"851",195873,"toys","off_brand",4.9,4,25,91.7,2943
"852",189031,"health","off_brand",4.4,160,22,62,2548
"853",111917,"toys","premium",3.2,12,18,35.3,2296
"854",155434,"health","off_brand",4.5,4,18,41.8,1538
"855",106754,"health","premium",4,14,27,5,1081
"856",110893,"health","premium",4.4,13,19,21.5,849
"857",163143,"health","off_brand",4.5,9,21,33.8,1918
"858",261299,"health","off_brand",4.5,12,19,44.8,3216
"859",78544,"toys","off_brand",4.4,6,14,60,898
"860",100797,"food","off_brand",3.6,12,15,71.9,1031
"861",94000,"health","off_brand",3.6,7,15,30.1,1182
"862",139442,"toys","off_brand",4,7,18,90.6,2492
"863",279952,"health","off_brand",4.4,13,15,37.7,4554
"864",159019,"toys","off_brand",4.9,11,23,38.8,1661
"865",97474,"toys","premium",3,19,15,52.8,1212
"866",136596,"toys","premium",3.7,4,7,43.8,2871
"867",178414,"health","off_brand",4.4,13,NA,64.8,1722
"868",210317,"health","premium",4,10,20,77.9,2933
"869",78121,"health","premium",3.2,6,18,46.9,1696
"870",190787,"toys",NA,4.2,16,28,54.7,1699
"871",181637,"other","premium",4.5,3,12,51.9,2174
"872",154293,"health","off_brand",4.7,12,26,44.4,2121
"873",144496,"other","off_brand",3.7,1,17,65.2,2774
"874",220202,"toys","off_brand",4.8,7,NA,NA,2304
"875",217480,"toys",NA,4.5,3,20,64.6,3552
"876",113440,"other","premium",4.1,7,24,16,2629
"877",185458,"toys","off_brand",3.6,6,32,62.9,3919
"878",136039,"toys","premium",4,4,16,62.9,2820
"879",192295,"other","premium",4.3,9,25,50.6,2613
"880",115434,"toys","premium",4,3,28,28.8,1895
"881",117050,"other","off_brand",4.3,3,6,62.1,901
"882",201600,"health","off_brand",4.1,16,18,35,3496
"883",154376,"health","premium",4.7,20,12,16.1,1090
"884",137596,"toys","premium",4.6,5,16,43.5,1366
"885",66691,"other","premium",4.1,2,21,20.3,711
"886",107694,"health",NA,3.9,16,16,49.3,1058
"887",113168,"health","off_brand",4.8,4,15,77.6,873
"888",109483,"health",NA,4.2,4,24,71.3,1399
"889",197047,"toys","premium",4.9,3,11,37,3108
"890",163709,"health","off_brand",4.6,7,27,5,2137
"891",105325,"health","off_brand",4.6,6,25,22,881
"892",189632,"food","premium",3.9,13,17,54.5,3248
"893",153982,"health","premium",4.1,12,17,60.9,1656
"894",165121,"health","premium",4.1,3,24,59.2,2144
"895",115659,"toys","premium",4.6,13,26,37.5,774
"896",215406,"other","off_brand",4.2,3,9,38.9,3107
"897",102303,"health",NA,3.8,4,28,53.8,2246
"898",134633,"other","off_brand",4.1,16,13,64.6,1004
"899",232106,"health","off_brand",4.3,5,10,5,2632
"900",180088,"toys","off_brand",4.6,5,18,17.1,1484
"901",189611,"health","off_brand",4.3,1,NA,53.2,3069
"902",130247,"food","off_brand",3.7,2,18,34.2,1491
"903",15055,"toys","premium",3.4,3,28,35.3,892
"904",181935,"health","off_brand",4.9,7,15,7.6,935
"905",120683,"toys","premium",4.7,7,13,51.9,823
"906",174122,"other","off_brand",3.6,12,20,43.7,2967
"907",150408,"food","premium",4.3,174,12,27.9,1190
"908",139571,"toys","premium",3.9,3,25,37.3,3094
"909",165747,"other","off_brand",4.7,9,14,68.2,2111
"910",129387,"toys",NA,4.2,11,23,38.1,1941
"911",80235,"toys","off_brand",4.4,15,22,72.2,704
"912",172699,"health","premium",4.8,3,3,24.3,1875
"913",218329,"health","off_brand",4.5,8,NA,71.7,2879
"914",143529,"health","premium",3,5,26,13.6,2794
"915",138460,"toys","off_brand",4.3,11,31,69.5,2092
"916",118630,"food","off_brand",4,15,20,55.1,928
"917",160734,"health","off_brand",4.6,1,31,33.8,2793
"918",174904,"toys","premium",4.9,8,19,52.4,1717
"919",121647,"toys","off_brand",4,3,21,54.7,2089
"920",38311,"toys","off_brand",3,7,33,44,646
"921",193683,"health","off_brand",4.7,12,NA,17.5,2122
"922",140971,"toys","off_brand",3.5,5,30,74.8,2821
"923",108372,"health","off_brand",4.3,3,9,22.8,454
"924",121664,"toys","off_brand",4.4,1,18,83.7,1026
"925",140467,"toys","premium",3.1,4,2,66.8,2287
"926",172311,"health","off_brand",4.3,11,20,75.9,2176
"927",224564,"toys",NA,4.6,15,28,62.8,3101
"928",187436,"toys","premium",4.3,6,15,46.9,3311
"929",75357,"toys","premium",3.6,11,22,26.3,1094
"930",78144,"health","off_brand",4.3,9,23,78,1211
"931",145713,"toys","premium",4.7,5,22,28.5,786
"932",194481,"health","off_brand",4.7,6,17,42.9,1435
"933",175745,"health","premium",4.8,14,34,37.7,1607
"934",95667,"health","premium",4,17,10,26.7,813
"935",162297,"toys","off_brand",4.4,7,16,51.6,1997
"936",177135,"health","premium",4.6,3,13,67,2396
"937",57256,"toys","premium",4,2,15,64,964
"938",117186,"health","premium",4.3,12,11,12.9,1681
"939",185261,"health","premium",4.8,1,NA,32.8,2419
"940",156570,"health","off_brand",4.4,4,29,21.7,2973
"941",130391,"health","premium",3.5,5,NA,68.3,2766
"942",204795,"toys","premium",4,13,22,46.7,3910
"943",100743,"health","premium",2.8,11,20,12.6,1775
"944",131965,"toys","premium",4.6,11,17,59.5,1134
"945",103931,"health","off_brand",3.5,6,NA,18.6,1013
"946",181371,"other","off_brand",4.8,9,14,27.6,947
"947",124113,"health","off_brand",4.3,8,29,46.7,1264
"948",123713,"health","off_brand",4.6,2,20,52.1,1522
"949",120238,"health","premium",4.4,10,18,60.2,1056
"950",54890,"health","off_brand",2.2,4,28,37.8,813
"951",223161,"toys","premium",4.8,10,13,29.1,2336
"952",139311,"health","premium",4.6,6,11,25.8,864
"953",168814,"health","premium",4.6,8,21,NA,1382
"954",126291,"other","off_brand",4.4,10,NA,34.3,459
"955",133387,"food","premium",4.3,5,26,29,2490
"956",212573,"food","off_brand",3.9,10,31,NA,3702
"957",151987,"toys","off_brand",4.5,8,31,70.7,2482
"958",124117,"toys","premium",4.1,17,11,76.3,720
"959",138647,"health","premium",4.8,8,25,43.7,1713
"960",60482,"toys","off_brand",3.6,3,21,71,1312
"961",121492,"toys","premium",4.5,3,34,63.4,1016
"962",40620,"health","premium",3.9,9,30,59.2,985
"963",101130,"health","off_brand",3.8,16,23,13.1,1034
"964",130944,"health","off_brand",4.1,4,12,17.5,2434
"965",150639,"health","premium",3.8,2,NA,46.4,2960
"966",94830,"health","off_brand",3.8,3,17,34.4,1283
"967",178192,"other",NA,3.8,5,25,35.5,3266
"968",241068,"toys","off_brand",4.5,7,23,24.5,3767
"969",120011,"health","premium",4.8,2,22,64.2,994
"970",210498,"food","premium",4.4,10,9,NA,2574
"971",156701,"toys","off_brand",4.3,8,15,63.8,1708
"972",107620,"health","premium",3.6,5,19,41.7,1851
"973",127535,"toys",NA,4.4,5,16,61.1,1124
"974",143177,"other","off_brand",4.3,10,7,75.4,2051
"975",203715,"toys","off_brand",4.6,20,28,68,2124
"976",161608,"other","premium",4.6,14,32,16.1,1136
"977",210996,"toys","off_brand",4.3,9,18,70,3165
"978",106025,"health","premium",4.2,1,17,66.7,1248
"979",121560,"health","premium",4.3,11,15,74.3,992
"980",202250,"toys","premium",4.8,14,NA,76.9,2406
"981",119572,"toys","premium",3.7,9,30,53.4,2659
"982",92960,"toys","premium",3.6,3,28,51.8,1164
"983",149701,"toys","off_brand",4.4,7,NA,110.8,1808
"984",75245,"toys","off_brand",3.1,2,20,60.2,768
"985",108647,"toys","off_brand",2.8,13,21,102.6,2156
"986",221029,"health","premium",4.6,23,22,57.5,2924
"987",85275,"food","premium",4,4,23,18.7,909
"988",159651,"health","premium",4.7,12,11,27.5,954
"989",130077,"health","off_brand",4.2,13,22,36,727
"990",190002,"toys","premium",4.7,8,20,45.7,2421
"991",78887,"health","premium",4.1,5,15,75.7,815
"992",224991,"toys","premium",4.2,24,32,42.8,3054
"993",48918,"toys","off_brand",3,4,25,82.8,1573
"994",154728,"toys","off_brand",4.5,5,10,40.4,578
"995",43988,"toys","premium",2.9,194,17,5,749
"996",157723,"toys","off_brand",4.4,5,30,25.7,3198
